               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.088162,             0.06283,            0.015941,           0.0077853,             0.13028,           0.0067568,           0.0022104,            0.099367,            0.069329,            0.015439,            0.008845,            0.008845,            0.008845
                  37,            0.088342,            0.059154,            0.016591,             0.51996,             0.13732,            0.014802,           0.0044131,            0.097949,            0.046469,            0.014136,            0.008812,            0.008812,            0.008812
                  38,            0.090123,            0.056228,            0.016807,              0.5217,             0.15845,            0.016414,           0.0048953,             0.09257,             0.05298,            0.013336,            0.008779,            0.008779,            0.008779
                  39,            0.086284,            0.063537,            0.014514,             0.53034,             0.13732,            0.032468,            0.013761,            0.087595,            0.039042,            0.013058,            0.008746,            0.008746,            0.008746
                  40,            0.083834,            0.056823,             0.01546,             0.54439,             0.13028,            0.029414,            0.009739,            0.087707,             0.04037,            0.012558,            0.008713,            0.008713,            0.008713
                  41,            0.086547,            0.058989,            0.013548,             0.53061,             0.09507,             0.01597,           0.0045478,            0.090825,            0.033285,            0.012888,             0.00868,             0.00868,             0.00868
                  42,            0.085485,            0.053872,             0.01492,             0.56235,             0.09507,             0.05007,            0.018149,            0.085286,            0.040912,            0.012216,            0.008647,            0.008647,            0.008647
                  43,            0.084664,            0.059731,            0.014287,             0.57495,             0.14789,            0.056568,            0.016563,            0.086498,            0.040712,            0.012146,            0.008614,            0.008614,            0.008614
                  44,            0.082179,            0.058472,            0.015656,              0.5872,             0.17606,            0.081258,            0.024788,            0.083787,            0.043529,            0.012378,            0.008581,            0.008581,            0.008581
                  45,            0.084956,            0.052984,            0.012149,             0.55954,             0.10563,            0.033874,           0.0096313,            0.092141,            0.049267,            0.012881,            0.008548,            0.008548,            0.008548
                  46,            0.082175,            0.056225,            0.016326,             0.58934,             0.09507,             0.06441,            0.021706,            0.082358,            0.057119,            0.014151,            0.008515,            0.008515,            0.008515
                  47,            0.079464,            0.058947,            0.014828,             0.59595,              0.1271,            0.073042,            0.024136,            0.082748,            0.040937,            0.012213,            0.008482,            0.008482,            0.008482
                  48,            0.084824,            0.052733,            0.013751,             0.62709,             0.15141,            0.081741,            0.023732,            0.085591,            0.036438,            0.011908,            0.008449,            0.008449,            0.008449
                  49,            0.085973,            0.054571,            0.012961,             0.58656,             0.10915,            0.060059,            0.019762,            0.086327,            0.033459,            0.011758,            0.008416,            0.008416,            0.008416
                  50,            0.080763,            0.060853,            0.014261,              0.6461,             0.14085,             0.11788,            0.042108,            0.076578,            0.040357,            0.012424,            0.008383,            0.008383,            0.008383
                  51,            0.076277,            0.058199,            0.016392,             0.67131,             0.15845,             0.13875,              0.0474,            0.075322,            0.040983,            0.012485,             0.00835,             0.00835,             0.00835
                  52,            0.077866,            0.056403,            0.014251,             0.61232,             0.16197,            0.087821,            0.024955,             0.07857,            0.041273,            0.012717,            0.008317,            0.008317,            0.008317
